Hermenia;Huchla
Hortensja;Lochmanowicz
Oda;Gmowska
Sulis³awa;Klejssa
Gilda;Giengiel
Ita;¯elak
Grzymis³awa;Mulnik
Justyna;Godkowicz
Agnieszka;Dr¹ka
Nikita;Ratajczk
Wojs³awa;W³oszczyzna
Domicela;Zimann
Ofelia;Nietrzepko
Teodora;Doboszcz
Dobros³awa;Rose
Halka;Szarubka
Ingeborga;Anichimiuk
Dobrawa;Riœka
Gloria;Dziundzi³
Dobrochna;Ma³aœniecki
Angelina;Niszalke
Ada;Sierek
Albertyna;Bontowska
Jewdocha;Salamom
Ofelia;Kurpiasiak
Tolis³awa;Blaut
Ita;Gnyszyñska
S³awa;Zymelski
Dina;I¿yniec
Agata;Dziechaniec
Urszula;Pedus
Blandyna;Konariuk
Lucylla;Kowali
Kolombina;Doddek
Violetta;Werchun
Idalia;Konti
Izolda;Kaœkorz
Wyszeniega;Frankl
Kornelia;Sachally
Pamela;Ceborski
Margot;Nowisz
Kunegunda;Okrutza
Petronia;Sobkowski
Faustyna;Hyller
Marika;Ellas
Beatrice;¯u¿a
Marcela;Bakierski
Teodora;Potras
Kordula;Feist
Wszebora;Kluczek
Prakseda;Anosow
Wanda;Bozek
Mindora;Balczyn
Adelina;Dziubacz
Kalina;Maluszczyk
Isaura;Wesik
Ma³gorzata;Jazgarski
Erwina;Ramkiewicz
Nina;Ozimiek
Matylda;Trawnicki
Wiktoryna;Geibel
Liberata;Heinerich
Debora;Fainbier
Zula;Turkusz
Ciechos³awa;Suszewicz
Budzis³awa;Cz³opka
Marta;Wilimczyk
W³adys³awa;Bud¿y³o
Mironiega;Bindyk
Kwiatos³awa;Wysogrocki
Ewelina;Labora
Debora;Jajaczyk
Agrypina;Sznuc
Ró¿a;Beschnidt
Waleria;Go³dyñski
Imis³awa;Sulek
Kazimiera;Gregorzek
Alfreda;Burku³ak
Ludmi³a;Dokoch
Dyzma;Gastrowska
Zdzis³awa;Polubiejko
Bogus³awa;Nuskowski
Rufina;Oswat
Kwiryna;Malenowicz
Iryda;Spakowski
Metoda;Hostmann
Konradyna;Ho³dakowski
Sabina;KniaŸ
Kinga;Kopyœciñski
Sandra;Piepier
Sylwia;TrzeŸbiak
Wis³awa;Pietrysiñski
Lamberta;Danckier
Maryla;Sewastyniuk
Marika;Pultar
Tekla;Swida
Nora;Kaden
Boles³awa;Cierzeniewska
Mi³os³awa;Hadaka
Bernadeta;Raczkowiak
Edda;Olesnicka
Dobrochna;Czerñ
Mira;Wolniczyk
Nimfa;Nisenkorn
Swet³ana;Toczo³owski
Martyna;Hastebok
Szczêsna;Majchnakowska
Maryla;Dêbe
Mirabella;Banaszy
Zelmira;Nizerska
Lolita;Sztajnbrener
Leopolda;Kocziñska
Leopolda;Cholma
Liza;Ledmann
Szymoneta;Grajna
Jewdocha;Iwanusz
Zuzanna;Torochow
D¹brówka;Gudwoñska
Materna;Blich
Amadea;Buniak
Ifigenia;Hajos
Œwiêtomira;Hulbiñska
Les³awa;Œnigoñ
Bernadeta;Buttita
Zora;Puczak
Wis³awa;Szwera
Narcyza;Czechleba
Tolis³awa;Polona
Jadwiga;Falender
Lolita;Kie³czewski
Tomira;Skale
Karolina;Marada
Izabela;Zwaduch
Adelajda;Dr¹ka
Amadea;Pietrzniak
Krzysztofa;Tramal
Sara;Wyderski
Placydia;Ma³doñ
Kwiryna;Chojnaczyk
Adrianna;Mich³aek
Saba;Pijawski vel Pakulski
Mirabella;Federmann
Salomea;Burdyko
Adriana;Fabijaniak
Dobrawa;Salacka
Œwiêtomira;Chodyke
Katarzyna;Friihauf
Gallina;Czioch
S³awa;Hollerbaum
Salomea;Szawiowicz
Aida;Szklaruk-Leonkiewicz
Barbara;Jo³kin
Jolanta;Œmitko
Marzena;Centowicz
Liliana;Faworski
Czcibora;Piwanowski
Jagna;Klaszka
Beda;Musiejenko
Zyta;Chech³ocz
Kamila;Drzonowski
Mœcis³awa;Pietosa
Debora;Aleksandroff
¯aklina;Chankie
Tacjana;Kolorz
Juda;Frygier
Tekla;Nierod
Metoda;Ochmacka
Marianna;Gelio
Georgia;Mencel
Adria;Brudna
Irma;Wiernasz
Natasza;Karpi³owski
Fausta;Rzyczyna
Marcjanna;Wiêcisz
Bartolomea;Krausse
Zefiryna;Trodzimowicz
Arletta;Betik
Mi³os³awa;Siepek
Wyszes³awa;Jestadt
Boñcza;¯elizniak
Anastazja;Piecaszek
Idalia;Pastorski
Wielis³awa;Wdoszczuk
Wiera;Grzywek
Wilhelmina;Rajchembach
Herminia;Sza³koplast
Sebastiana;Galiczewska
Emilia;Ci¿mañski
Fabia;Pottini
¯ywia;Joselewicz
Maria Magdalena;Pauga
Alojza;Bedek
Ludomira;Towaszek
Apolonia;Dorbaj³o
Chwalimira;How³owczak
Zygfryda;Wcislik
¯anna;Dziag
Ma³gorzata;Myzyka
Rozyna;Chens
Ingrid;Przewies
Loretta;Cipciñski
D¹brówka;Greczeñ
Kinga;Czongalla
Aurela;Zapolna
Angela;Turtoñ
Kosma;Pe³achaty
Romualda;Andera
¯ywia;Ryszak
Jolanta;Pe³êdziewska
Rebeka;Beunatowicz
Kwiatos³awa;Cirnia
Rajmunda;Mieler
Orchidea;Dawiek
Sêdzis³awa;Najbebauer
Leonarda;Zamler
Telimena;Axmann
Malwina;Rzonsa
Adriana;Opaciuch
Dalida;So³kowski
Wszemi³a;Milbrandt vel Milbradt
Niegos³awa;Riczanek
Pamela;Ryfko
Mœcis³awa;Blattan
Boguchwa³a;Krzysztofska
Aisza;Sechlecki
Œwiêtomira;Cho¿ba
Kosma;Szechalowicz
Manfreda;Kruszuk
Kamila;Domiñczyk
Aida;Radlherr
Mieczys³awa;Bednarcyk
Rudolfina;Mylander
Sydonia;Augul
Wojciecha;Derison
Angela;Spitalniak
Kamelia;Zerelik
Leonida;Nan
Rajmunda;Zieniuk
Patrycja;Podlesna
Tomis³awa;Magolski
Miranda;Filipienko
Mirella;Mirusik
Greta;Bendick
Kamelia;Peliga
Godzis³awa;Wilki
Nadzieja;Opie³ka
Erazma;£omoæ
Hipolita;Strencioch
Eleonora;Tadday
Karolina;Jurz
Ifigenia;Bakalewska
Dobrochna;Berensztein
Mironiega;Pisera
Warwara;Steinko
Salomea;Grochoñ
Weronika;KuŸlik
Serafina;Zdechlik
Gardenia;Szoenbach
Lea;Harasiniuk
Eudoksja;Heiler
Hildegarda;Poniekwicka
Pola;Gwi¿ecki
Ramona;Sitarczyk
Bo¿ys³awa;Ha³uzo
Rados³awa;Chachlica
Kesja;Gierszel
Tworzys³awa;Grekowicz
Honorata;Bochnakiewicz
Emma;Kubani
Leonia;Potrz
Heloiza;Podenek
Sawa;Czarniak-Paj¹k
Œwiêtochna;Œniego
¯anna;Hulaj-Pole
Bryda;Hiliñski
Hortensja;Miêtrega
Jolanda;Kotyja
W³oœcis³awa;Hryciniuk
Eunika;Kielanczyk
Œwiêtos³awa;Star¿a-Majewski
Amiceta;Senuk
Bo¿ena;Birenat
Bernadetta;Chahulska
Adolfina;Rybanowicz
Mariola;Skobliñski
Bêdzis³awa;Szmyków
Walentyna;Kischporska
Amata;B³awszkowska
Joachima;Skrobin
Lucjola;Palumbo
Grzymis³awa;Fr¹tczyk
W³odzis³awa;Oœluk
Sofia;Siewieñ
Borzys³awa;Krzypiñski
Erwina;Thetschel
Adela;Mikiciuk
Fabia;Donarzewski
Zenobia;Junatowski
Maria Magdalena;Brewor
Karena;Nawro³
Ada;Wonsiewicz
Bernardyna;Ostajeñska
Wincenta;Katzeñski
Leokadia;Ostrzyniewski
Wyszes³awa;Spodynek
Diomada;Wyrambik
Telimena;Piupiec
Czes³awa;Pabiœ
Manuela;Poradziñski
Bratumi³a;Ostrega
Leonida;Garns
Dobroniega;Erabarkiewicz
Innocenta;Bielicz
Delfina;Joæ
Georgia;Pizak
Antonina;Lendziow
Areta;Cebeterewicz
Agrypina;Szantyko
Pola;Feniela
Wera;Tyrlewicz
Walentyna;Ko¿ewnikow
Maryla;Hromadiuk
Alicja;Sniosek
Ilona;Kicul
Feliksa;Rouba
Lilla;Szabracki
Zelmira;Tytera
Miros³awa;Krasiniewska
Ciechos³awa;Sienicz
Nora;Urancz
Ingrida;Frenlich
Atanazja;Jab³kiewicz
Romana;Krustylska
Samanta;Dymza
Jarema;£askaszewski
Gabriela;Podsieduk
Roksana;Drantal
Chwalis³awa;Szmidko
Bohdana;Bochniar
Roma;Pabjasz
Wera;Piszniok
Geraldyna;Bonkowicz
Mariola;Ploszek
Radzis³awa;Hacnelt
Stella;Klasak
Wszebora;Nowkowska
Ulryka;Bieliszak
Jarmi³a;Bólad
Debora;Rieczka
Felicyta;Nasternak
Mariola;Duchnik
Gallina;Zimnow³odzki
Zawisza;Hlitniczak
Petronela;Hubin
Geraldyna;Woroszczak
Œwiêtomira;Ka³wajtys
Nimfa;Maœlejak
Manuela;Dra¿encki
Œwiêtos³awa;Siudaz
Erazma;Kiepaj³o
Diomada;Bo³tko
Inga;Posepna
Biruta;Rudczik
Beatrycze;Czymiñska
Hermenia;Dermañski
Justyna;Prywoznik
Les³awa;Sojnowski
Emanuela;Sierodziñska
Ciechos³awa;Drelichowski
Agnieszka;£opa³³o
Gracjana;Szotak
Tekla;Buraj
Toska;Koszliga
Albertyna;Tonkowid
Leokadia;Rybiakowska
Halszka;Kostin
Lubomi³a;Czeczerda
Maria;Wiêznowski
Alicja;Bodziak
Diomeda;Lepr
Honorata;Kozorowski
Demetria;Miedwiedziew
Fabia;Muci³owicz
Lucjola;Bodzia
Aida;Gladiak
Boñcza;Bizaty
Rados³awa;Steszewska
Emma;Kreczkowski
Ismena;Niewalczyn
Gerarda;Kryziuk
Zyta;Sêdrowicz
Salome;Przepiurka
Witos³awa;Cyndal
Enema;Habina
Rudolfina;Grynfas
Materna;Budisz
Rozanna;Krukar
Metoda;Gatharczyk
Weronika;Haros
Izyda;Frohloff
Milenia;Peterejt
Sylwana;Biskupin
Ganda;Klimarska
Jolanda;Gostoñska
Roksana;Jeskie
Dziers³awa;Setkiewicz
W³oœcis³awa;Grabeck
Rajmunda;Rzeszó³ko
Tolis³awa;Jagodzin
Sieros³awa;Potelska
Kolombina;Sankeus
Alfreda;Wreszczek
Antonina;Bandurski
Kallina;Koweta
Amiceta;Dajda
Albertyna;Rubachow
Albertyna;Koœmirek
Ksymena;Fudim
Odilla;Ahmed
Maryla;Wa³uszko
Wierzchos³awa;Slipek
Przemys³awa;Ryszniak
Tekla;Okrzej
Gilda;Kaszuk
Katarzyna;Laksoñ
Rafaela;Piesiura
Pryscylla;Rabek
Selma;Flagel
Lucylla;Gordejew
Wac³awa;Trenta
Loda;Ziemlacz
Judyta;Ferchon
Wiêces³awa;Hernanowski
Pia;£ojak
Halka;¯ubrycki
Edwarda;Zwierski
Diomada;Ehlend
Rozalia;Ra¿ejewska
Œwiêtomira;Kononowicz
Sylwana;Macko
Emanuela;Pander
Sobies³awa;Kochanny
Marietta;Uzierowicz
Dobromi³a;Muranka
Kleopatra;Pró¿niak
Ida;Wojtiekun
Tatiana;Tomow
Kaliksta;Jenciak
Swet³ana;Ziarnowski
W³odzis³awa;Cembal
Marina;Czeszenko
Malwina;Wargulewski
Balbina;Nikuskiewicz
Margot;Cytrowski
Benedykta;Krzywodêbska
Niegos³awa;Cyroñski
Oriana;D¿en
Brygida;Andrjanow
Ingeborga;Lebedyñski
Miriam;Sajonz
W³odzis³awa;Gilde
Mieczys³awa;Blando
Roksana;Osmelek
Rena;Stokowa
Serafina;Szyszer
Lucjola;Rorala
Milenia;Szabron
El¿bieta;Roskowiñski
Zefiryna;Dudziek
Norma;Efroimowicz
Daniela;Gudzikowski
Rozanna;Szczelewski
Warwara;Andrzejak-Wasilewski
Ismena;Gargata
Przec³awa;Kurzêp
Martyna;Mekarski
Dziers³awa;Wiercimor
Nikita;Sztenbert
Tadeusza;Talapin
Ditta;Korupski
Longina;Paustyan
Justyna;Ancuta
Izyda;Czura
Felicyta;Chremata
Cezara;Ci¹gliñski
Melania;£¹tek
Lubomira;Kajczuga
Ingeborga;Hetmañski
Dalia;Famu³a
Anita;Kintoriak
Strze¿ys³awa;Bocler
Ruta;Liwo
¯ywia;Giewanowicz
Marianna;Gansziniec
Ingeborga;Feierstein
Mi³a;Gaw¹da
Judyta;Kranitz
S³awa;Bierada
Ligia;Bonaszczuk
Nadzieja;Howil
Ofelia;Ciechociñski
Józefa;Komaszyn
Adela;Gudrich
Rozyna;Simbierska
Sara;Waszecki
Boguchwa³a;Szic
Ifigenia;Jarnu³a
Honorata;Mod³owski
Józefa;Glarka
Jowita;Fermenta
Karolina;Zegadlewicz
Godzis³awa;Hadura
Eleonora;Gorzych
Marlena;PaŸdziach
Norberta;Jezieñska
Sylwia;Frenczko
Tomira;Sylwesterzak
Ingrida;Da¿nik
Eufrozyna;Dabrot
Rachela;Laskier
Olga;Trowicka
Szymoneta;Kierczak
Areta;Pauperowicz
Malina;Kierna¿ycki
Manfreda;Œniadkowski
Natalia;Æwiêka³a
Patrycja;Maryewski
Angelika;Dzwigoñ
Carmen;Lupa
Dalila;Kniese
Ludomira;Petelak
Rudolfa;Sudlitz
Modesta;Hemerl
Atanazja;Wirstniuk
Berna;Flos
Halina;Wydor
Waleriana;Kudraszow
Asteria;Czanka
Helena;Erdaman
Bernardyna;¯yg³owicz
Domis³awa;Hopner
Marina;Toma Strzechowski
Neomi³a;Lanuczny
Nadzieja;Godina
Amadea;Dybiœ
Amalia;Gozdawa-Chroszczewska
Teresa;Ittel
Ksaweryna;Wsiciarek
Honorata;Pantol
Józefa;Matyniak
Dorota;Wenal
Felicyta;Dittel
Ita;Mardofol
Iwona;Chryp
Marika;Lomperska
Kazimiera;Domach
Larysa;Swiêtuchowski
Zuzanna;Becela
Jagoda;Frasyniak
Dalia;Bie³¿ak
Dobros³awa;Carowski
Roberta;Pauliner
Toska;Dmorniakowa
Benigna;Suptelna
Wyszeniega;Machcieñska
Wielis³awa;Goœciewski
Felicjana;Szczypawka
Cyriaka;Plewicki
Zofia;Sorokowik
Stella;Piutowska
Marianna;Ka³añdziak
Sara;Polednia
Dobies³awa;Korna³owicz
Glikeria;Komia¿yk
Jolanta;Kramasch
Bogna;Pankraszów
Rachela;Adomat
Aldona;Kurejko
Boles³awa;Anastazjewski
Dalia;Hynka
Dionizja;Gawroñ
Hermenia;Hilarczuk
Beata;Sa³ackiewicz
Jadwiga;Karolkiewicz
Aneta;Perljan
Adriana;Rec³awowicz
Honoryna;Kindrecka
Blanka;Gabryjonczyk
Nadzieja;Ryding
Dalia;Cyndal
Cieszys³awa;Myrtek
Delfina;Glaczyñska
Jaros³awa;Hucko
Scholastyka;Dziworski
Lechos³awa;Zygaliñska
Minodora;Habelt
Józefina;Krautforst
Lucja;Szproni
Milena;Talasko
Ramona;So³otwiej
Luba;Gelo
Cyriaka;Rozmerowska
Neomi³a;Krucha
Norberta;Sziwiec
Rudolfina;Buizak
Boñcza;Berus
Tekla;Brodzinowski
Emma;Maryk
Agata;Tu³upow
Renata;Marcola
Adolfina;H¹bla
Benigna;Marklejn
Sylwana;Stochna³
Edyta;Stafii
Bazylissa;Œwiatlik
Alfreda;Jozepczuk
Ofelia;Bosok
Walentyna;Bagler
Klaudyna;D¹dek
Talita;Makela
Filomena;Muckowska
Mi³os³awa;Blociñska
Miriam;Papla
Dorota;Michsza
Erwina;Hebreder
Adriana;Heinor
Angelina;Siemczonek
Alojza;Deniszczyc
Oktawia;£okocik
Irina;Czerep
Zbys³awa;Churaœ
Dionizja;Sa³wicki
Begina;Kateusz
Afrodyta;Denkwart
Rita;Banifatiuk
Ró¿a;Szubielski
Lubosza;Miœniak
Ksaweryna;Jedryjaszek
Edwarda;S³atkiewicz
Swet³ana;Oponek
Flawia;Kola³o
Jewdocha;Kirsten
Aurora;Gliszyñski
Margareta;Parma
Leopoldyna;Boleu
Halina;Kucharcz
Flawia;Pacholek
Pryska;Syliwoniuk
W³odzis³awa;Azenkowicz
Izyda;Wiechta
Ludomi³a;Smerol
Amalia;Mrozowicz
Milenia;Groszana
Klementyna;Jab³oniak
Liberata;Apczynska
Karola;Folt
Angelina;Ugodziñski
Niemira;Cirlik
Ryszarda;Dziopiñska
Edyta;Fiszek
Bogus³awa;Ejben
Izolda;Hês
Konstancja;Sedowicowa
Violetta;B³aszczyk
Boguchwa³a;Wasylciów
Bogdana;Borycza
Kleopatra;Jarowicz
Kordelia;Józefszczyk
D¹brówka;Kreœnicki
Wiêces³awa;Konderok
Konradyna;Lejski
Kallina;Wo¿niszczuk
Leopoldyna;Rygner
Klara;Wojcieski
Dyzma;Krystojæ
Wojciecha;Gociek
Wiktoria;Razliñska
Laza;Jendraszkiewicz
Halina;Ozorko
Mirabella;Iwor
Pryscylla;Hanausek
Zenona;Zberesiñska
Lechos³awa;Potacza³o
Kesja;Tynik
Zuzanna;Gontar
Samuela;Zausalina
Dobros³awa;Biondara
Miros³awa;Zimoñczyk
Dobis³awa;¯erdka
Nadia;Mazurczyn
Zawisza;Wawrzyñski
Afrodyta;Ojeda
Ilia;Dysiorowicz
Ciechos³awa;Przyñski
Adela;Wibierek
Tomis³awa;Werchanowicz
Nikita;Dizendorf
Flawia;Feyerabendt
Mechtylda;Kuliasa
Wenesa;Kasztel
Roœcis³awa;Ryncarz
¯aklina;Madel
Ismena;Tiner
Magdalena;Tetzler
Gracjana;Hamerlich
Janina;Waga
Alfonsyna;Kresztefowicz
Aurela;Sargunas
Gustawa;Gerbich
Toma;Kierwczenko
Jowita;Baraj
Gryzelda;Rupnowski
Zelmira;Chrychel
Hermenia;Szemfelt
Mironiega;Toraz
Elwira;Bajbur
Alicja;Bortkus
Marcelina;Gehrken
Alfreda;Tilcher
Ida;Miedzianek
Symforiana;Weich
Natasza;Gausel
Ingeborga;Wrzesiniewska
Eugenia;Maciukajæ
Teresa;Wolfgarten
Sylwia;Noszycka
Czcibora;Cauner
Oswalda;Piascinska
Ró¿a;Knisiewicz
Margot;Becmerewicz
Henryka;Serednicki
Mœcis³awa;Dochnalik
Stronis³awa;Ma¿yñski
Teodoryka;Speglanin
Kaja;Wohlman
Sulimiera;Ma³ochwy
Rudolfa;Dziatko
Kamilla;Garygiel
Tadeusza;Dr¹¿yk
Kaja;Szaca
Materna;W³adys³awowski
Zora;Jakubos
Teodoryka;Sykawa
Olimpia;Michnal
Zelmira;Stêczniak
Pryscylla;P³ochow
Roberta;Kuszyca
Eunika;Mujka
Swiet³ana;Waszenik
Julita;Tyberek
Magdalena;Gak
Walentyna;Strzymszok
Wszemi³a;Hensolt
Milenia;Bakarek
Areta;Guthe
Laurencja;Hakatów
Lena;Audycki
Judyta;Przeœna
Dobrochna;Koczorkiewicz
Blandyna;Ceremusiak
Wojs³awa;Wangrzyn
Julita;Ginza
Miros³awa;Szecz
Potencjana;Ubawska
Fryda;Babienicz
Urszula;Pac³ocha
Halka;Stamberg
Rebeka;¯elawski
Ingrida;Ibragimow
Kordelia;Somkowicz
Maryna;Suboszenko
Eliza;Szag¿dowicz
Zbigniewa;Boles³awicz
Zygfryda;Sienczewski
Paula;Nalewojk
Norberta;Celar
Eudokia;Zakowiec
Ernesta;Kodyn
Niegos³awa;Ikas
Agata;Bielna
Taida;Prudaczuk
Anita;Gesing
Patrycja;Goersdorf
Maria;K³aptacz
Tadeusza;Gieruszczyk
Pia;Lakert
Warwara;Szayna
Romana;Tar³ow
Teodoryka;Czepieluk
Rozyna;Rura
Franciszka;Dobieszyñski
Boguwola;Motyjka
Nonna;Granelska
Margot;Wdowiczenko
Wojciecha;Maklinger
Linda;Jêrzabek
Idalia;Domorzych
Szczêsna;Moœci³o
Sieros³awa;Figlarewicz
Teodozja;GoŸdziszewski
Chwalis³awa;Franczewski
Stanis³awa;Lancberg
Joachima;Lichoczewska
Symforiana;P³onowski
Felicyta;¯wierowicz
S³awomira;Ko³dun
Amanda;Fischgrund
Nina;Gutsztain
Amanda;Sztenwald
Glikeria;Wengierek
Georgia;Langanc
Mirella;Starczynowski
Honoryna;Mrozik
Wincentyna;M¹ndel
Maryla;Jura-Jurczak
Florentyna;D¹borowski
Ariela;Kiernos
Roksana;Hobzda
Lukrecja;Chmielnicki
Bibianna;Posieluszna
Jewdocha;Fiedzewicz
Oriana;Sabczuk
Warwara;Kalinski
Kryspina;Jabko
Helena;LegiendŸ
Stronis³awa;Potolak
Olimpia;Scenelak
Seweryna;Genthe
Kwiatos³awa;Bommerzbach
Perpetua;Przês³awska
Eudokia;Cipla
Budzis³awa;Jasula
Kesja;Doliszniak
Fabia;Doblaska
Amata;Kuczny
Estera;Cogler
Sulimiera;Hartelt
Oriana;£egodziñski
Filomena;Wys³ek
Euzebia;Manoœ
Epifania;Kochal
Kaliksta;Pyla
Renata;Eme
Arleta;Knyrewicz
Sabina;Gintar
Regina;Blaschta
Innocenta;Weschelberger
Donata;Skompiec
Odila;Fielok
Mariola;Bludaf
Alma;Ja¿drzyk
Gracjana;Hludziñski
Izolda;Koreœ
Hortensja;Miêtko
Fryda;Szym
Marika;Gabarowska
Scholastyka;Kusztewicz
Koleta;Jarich
Sulis³awa;Œliwa
Lolita;Wieczarkowska
Przybys³awa;Tatrynowicz
Tworzys³awa;Afanasiewicz
Wyszeniega;Krusieñski
Bogna;Giwka
Melania;Monuszki
Apolonia;Grudniczka
Isaura;Wi¹trowska
Apolonia;Kajetanik
Tatiana;Pankratz
Janina;Boralciewicz
Eufemia;Szaradziñski
Jurata;¯³obiñski
Roœcis³awa;Ciotej
Mirella;Lepierczyk
Beatrycze;Wabiszak
Józefa;Bruchanowska
Wiêces³awa;Mohanek
Kordelia;Indykiewicz
Talita;Sierzchulski
Gertruda;Woitaschek
Ró¿a;Saworski
Sara;Chodiuk
Boguwola;Szymiesiak
Angelina;Rupieta
Mœcis³awa;Stêcha³a
Sofia;Szobert
Elwira;Targalski
Amanda;Sze³ap
Blandyna;Przymirski
Paulina;Konarz
Dobies³awa;Loñczyk
Leopoldyna;Sztyga
Feliksa;Stramaus
