Gerhard;Podmyniak
Bêdzis³aw;Dudarew
Herkules;Adaszczynski
Doris;Pejc
Chwalis³aw;Koschitzki
Wolmar;¯andarmow
Denis;Kijañczuk
Filip;Bieniasiewicz
August;Sheybal
Helmut;Arciuchiewicz
Jonatan;Ludyga
Wróciwoj;Kl¹g
Zbis³aw;Kalwaczyñski
Cyprian;Fotkañski
Les³aw;Furnankiewicz
Sergiusz;G¹sienica-Szostak
Sewerian;Dodor
Jacenty;Dygañ
Hilary;Serefinowicz
Zdziwoj;Karczun
Porfirion;Azeb
Bazyliusz;Mickiewicz vel Mickus
Myœlimir;Za³uszny
Radomir;Kalacziñski
Lutogniew;Starz
Jan Gwalbert;Dryliczuk
Walter;Gettler
Aureliusz;Niewadz
Nelly;Kurzecz
Radzimierz;Firak
Heliasz;Stolmaszek
Prokop;£¹¿yñski
Wojbor;Glüklich
Jerzy;Kotoski
Alfons;Frons
Wilibald;Mietió³ka
Radogost;Cering
Gedeon;Banielewicz
Sylwan;Pojanek
Gorgoncjusz;Schwier¿
Lucjusz;Kuima
Jan;Korykora
Wasyl;Zajcz
Konstans;Tofin
Cezary;Wyranik
Konstanty;Tretalski
Lew;Renkala
Jan Kanty;Syczko
Anicet;Gotlik
Jan Gwalbert;Szeœciernikow
Konradyn;Ski³adz
Bolebor;Zubrañska
Wac³aw;Turczynowicz-Suszycki
Klemens;Bottcher
Cyrus;MedŸwiedŸ
Roland;Hyszko
Kwiryn;Nigelski
£adys³aw;Sternil
Felicjan;Matuszowitz
Humbert;Brandhoff
Remigiusz;Ponomarów
Erwin;Spruta
Ksenofont;Ejgiel
Salwin;Kustoœ
Apoloniusz;Komadera
Zbros³aw;Miêsak
Nepomucen;Mokrawiecka
Dobrymir;Purul
Bertram;Schwerda
Adolf;Breintscheidel
Narcyz;Zem³o
Gerhard;We³k
Beatryks;Palkie
Dorian;Kalczak
Soter;Ciotuch
Kalikst;Greplowska
Gerard;Barczuch
Gajusz;Bieszczada
Nadbor;Plamieniak
Domamir;Migros
Janis³aw;Konsañczuk
Ewelin;Flechner
Stefan;Polaczek-Kornecki
Bo¿ymierz;Gebono
Maciej;Katynkiewicz
Oleg;Kozibrodzki
Grodzis³aw;£awrynczyk
Igor;Kierlasz
Juliusz;Kirtio
Mirogniew;Popowiczuk
Jan Kanty;Filist
Radzimir;Hudysz
Artemon;Berbachowski
Wielis³aw;Austrijak
Cierpis³aw;Bib
Mieszko;Schlass
Ananiasz;Pedynowski
Ananiasz;Korybulska
Albin;Sklarsky
Ruben;Dziakowski
Radek;Mrówko
Czêstomir;Czterobok
Beatus;Prele
Walenty;Kowczyn
Idzi;Platkow
Wadim;Gastajer
Ludomi³;Kornilarz
Budzimir;Artyfikiewicz
Cezary;Umiejski
Charyzjusz;Pazdzioch
Mêcimir;Zemrycka
Dziers³aw;Kondryna
Bruno;Kud³ata
Wendelin;Telek
Micheasz;Borejszo
Gracjan;Styrnoll
Ulrych;Henryszewski
Hermenegild;Pisura
Bogudar;Kmieciuk
Fidelis;Maca
Epifaniusz;Bladowski
Strze¿ys³aw;Marszeniuk
Cieszyrad;Szurno
Bertrand;Pychacz
Cyriak;Glazek
Jacenty;Hafemeister
Jan Gwalbert;Tarabos
Wrócis³aw;Gust
Erazm;£ajko
Nieznamir;Skital
Dobronieg;Krawiak
Ezechiel;Schafriñska
¯yros³aw;Kociuszko
Brodzis³aw;Kosciuszuk
Goœcirad;Pl¹czkowski
Aurelian;Henl
Hermes;Walaszczyk
Gedeon;Teliczka
Wyszemir;PliŸga
Lubomir;Schirowski
Gniewosz;Zyœk
Dzier¿ymir;Domasa³a
Chryzant;Musztarenko
Twardos³aw;Wolter
Unimir;Ruemekasten
Ireneusz;Rizujanis
Radomi³;Pieliszko
Tworzymir;Wieczorek-Nowak
Kwiryn;Radlar
Prokop;Kosma³
Jonasz;Bogus³owicz
Amedeusz;Krêcichowski
Axel;Narêkiewicz
Honorat;G³¹biec
Asenat;Kearney
Warcis³aw;Sucheni
Cezariusz;Moskalczyk
Jan Gwalbert;Hnet
Budzigniew;Nanowita
Wies³aw;Krzêpek
Nadbor;Gaponiuk
Pimen;Rekiert
Dobiemiest;Herkowski
Janis³aw;Sonnerburg
Barabasz;Rachubiñski
D³ugosz;Lubura
Przybymir;Bernn
Sergiusz;Zabawniuk
Patrycy;Budenhalt
Albin;Dzirda
Czechasz;Bonaura
Sêdzis³aw;Wierzgowski
Wirgiliusz;Wo³ot
Florenty;Pa¿dziurek
Ezdrasz;Riehl
Salomon;Cyndza
Fabrycjan;Pojaszewski
Drogomi³;Faglio
Jan Nepomucen;Chuchu³a
Bogus¹d;Sciborski
Konstantyn;Kuwaszka
Achacjusz;ŒlêdŸ
Wolmar;Slodczyk
Wirginiusz;Tymos³awski
Konradyn;Kairowicz
Mateusz;Szelwech
Irydion;Szemeczko
Micha³;Grybol
Artur;Matarczyñska
Alban;Dentko
Jurand;Spu³ek
Bronimir;Kêkuñ
Karolin;Gerste
Ruben;Kornhauzer
Lucjusz;Alshut
Wyszomir;Frydmann
Florentyn;Pirecki
Amin;Dolicher
Goœcis³aw;Fritscher
Aureli;Rohacz
£êkomir;Szudelski
Les³aw;Holer
Konradyn;Melchior
Brunon;Wirgowski
Ezechiel;Kowefa³
Tadeusz;Binioszek
Maur;Kiecawa
Alfons;Wielbik
Leonard;Wainberg
Dobromierz;Swierch
Wszeciech;Rimke
Fides;Fiedo
Lucjusz;¯ród³owski
Wieñczys³aw;Razumczyk
Strze¿ymir;Mêtrykowski
Chwalimir;Zoñ
Kryspin;Koreszko
Bo¿ydar;Canut
Boguchwa³;Trêbas
Krzysztof;Pereyre
Dymitriusz;Korabecna
Myœlibor;Szerfchen
Gerwazy;Sad³as
Amos;G³ubieniec
Daros³aw;Roœcinowski
Pankracy;Zamajkiewicz
W³odzimir;Suchwiecki
Orfeusz;SmuŸna
Rajmund;Tu¿yñski
Herakliusz;Rachy³o
Œwieciech;Pondziak
S³awosz;Czeba³a
Liwiusz;Wantka
Dobromierz;Halamuœ
Demokryt;Mica³a
Adalbert;Krismann
Addar;Kulpiñski
Kanty;Rzêœniak
Emilian;Hanisek
Lubomierz;Scharla
Olgierd;Sziska
Petroniusz;Fleischhakier
Festus;Kochniak
Herkulan;Rdzanek
Ignacy;Derupalska
Wielis³aw;Komnacki
Przemys³;Makay
Dobiemir;Weryha
Mansfet;Aksienionek
Hortensjusz;Fraund
Janusz;Hucisko
Mojmir;Farnów
Adolf;Slemaszko
Roland;Stubecki
Dalegor;Radyno
Amin;Kabaœ
Kajus;Danysz
Seweryn;Pieczinka
Dobromys³;Tylmanowicz
Agapit;Kulisowska
Unimir;Szwane
Apolinary;Mrosek
Eliasz;Doszczka
Wyszomir;Panamska
Stojs³aw;Brandszaft
Bernardyn;Wasileniuk
Dionizjusz;Oftan
Felicysym;Syjda
Porfirion;Szarwi³o
Goœcimir;Ty³wiñska
Jakub;Korsow
Chociebor;Jaceczko
Absalon;Bunga
Maciej;Patkiewicz
Dytrych;Aroszkiewicz
Dzier¿ykraj;Wojtowiec
Epifani;Mamrocha
Pakosz³aw;£oszczewska
Wyszomir;Dyli¿bañska
Andrzej;Kecht
Konstantyn;Kulit
Kasjan;Golembusz
Felicjan;Fratkiewicz
Pakosz;Szarok
Martynin;Jagociak
Mokij;Pora
Bazylis;Wawrzyniecki
Wiktoriusz;Bedyñski
Namys³aw;Rzelecki
W³adymir;Schiller
Czêstobor;Zadlewski
Seweryn;Kudera
Cyprian;Netza
Ireneusz;Menderecki
Wolfgang;Lachcik
Piotr;£ochman
Ewaryst;Balerzok
Oktawian;Gierenowicz
Adolf;Cenkier
Dobiegniew;Flajszaker
Tymon;Kreplewski
Eligiusz;Szarleta
Walerian;Zwiz³o
Idzi;Niemywski
Gawe³;Szczy³ko
Siestrzemi³;Zapusta
Marcin;Biwejnis
¯ytomir;Krotyk
Ildefons;G¹sienica-Ciaptak
Absalon;Gurkowski
Czechoñ;Truchanowski
Serafin;Honorowska
Kiry³;Talerska
Bart³omiej;Dudecki
Domamir;Zetkowski
Remigiusz;Jedruszko
Niegos³aw;Gromadecki
Janusz;Spanidis
Pakosz;Sibotka
Job;Nietolczyk
Têgomir;Danckier
Leonidas;Troikowicz
Damazy;Kietz
Têgomir;Przypyszna
Oleg;Rachulak
Tyberiusz;£atyszewski
Niezamys³;Sonembert
Edward;Morycz
Anzelm;Zebrala
Wespazjan;Szterlej
Heliodor;Szepeniuk
Aleksy;Dyda³owicz
Bêdzis³aw;Delklock
Albaniusz;Putrycz
Sylwiusz;Siwczenko
Nehemiasz;Pyta
Wszebor;Wawr¿kiewicz
Józef;Popadyñczyk
Olgierd;Hwaluk
Godzisz;Ferens
Sylwery;Klammert
Eugeniusz;Gryczkowski
Berno;Dziugie³
Cibor;S³oñski de Ostoja
Andonik;Saliwoñczyk
Achilles;Kornol
Jac³aw;Pylus
Abraham;Krzemniecki
Gniewosz;Rauchberg
Wito³d;Szwochert
Symplicjusz;Pamelak
Honorat;Iwiñski
Prosimir;Rybakow
Urban;Kiszeliñska
Herkulan;Rosenbaiger
Chwalimir;Koœcielnicki
Radomi³;Esterman
Drogomys³;Ortoœ
S³awoj;Tomaluk
Wiêces³aw;Czabatorow
Uniedrog;Celep
Bo¿eciech;Suryga
Unis³aw;Mandakiewicz
Drogomys³;Dzienkuszewska
Fabrycy;K³udek
Bazyliusz;Gauda
W³odziwoj;Temczuk
Orfeusz;Muca³
Denis;Ozinirski
Noemi;Dolkowski
Rafael;Szpurka
Brykcjusz;Pietniewicz
Trzebomys³;Drujczyk
Apolinary;Spletzer
Skarbimir;Drop³owska
Gerard;S³usarz
Przybys³aw;Siebiata
Szymon;Weremecki
Wito³d;Tribul
Petroniusz;Smatacz
Maksymin;Dzêgielewski
Frumencjusz;Jewechuta
Igor;Drajkarz
Morzys³aw;Machajewicz
Zacheusz;Sur¿yñska
Lutogniew;Œlewski
Sebastian;Strojk
Bratumi³;Kossaty
Spycigniew;Parchyniak
Leonid;Szula
Eulogiusz;Ajbajter
Jan Nepomucen;Pieloch
Têgomir;Karpczak
Kilian;Dzi¹cio³owski
Bohusz;Mok³a
Sieciech;Orynczuk
Idzi;Siewróg
Floryn;Kurcjusz
Trzebimir;Cierzuch
Siecies³aw;Bernstajn
Urlyk;Karecas
Otniel;Standrowicz
Mœciwój;Nester
Teofil;Preisner
Ambro¿y;Krzepiec
Ryszard;Rebucha
Zbroimir;Koœciejañczuk
Kanty;Kiziak
Radociech;Niklans
Benedykt;Brekin
Rafael;Judyczyc
Toligniew;Gizlewska
Balcer;Tworczyn
Borzywoj;Szmandziak
Chwalibóg;RzeŸniewski
Leander;Szêfeld
Ostap;Lendorff-Koszowicz
Batszeba;Sobolla
D³ugosz;G³adkiewicz
Petroniusz;Lorch
Antonin;Ziemiec
Feliks;Wocha³a
Zdobys³aw;Duszna
Cezary;Rozmierski
Ksenofont;Gierwalik
Gwalbert;Kapoñ
Sergiusz;Skatulna
Dobies³aw;Grajdziadek
Wiêces³aw;Bagielczyk
Godzis³aw;Grêbecki
Gorzys³aw;Ajchorst
Adalbert;Kumoter
Spycimir;Grochmalski
Trzebimir;Jêdeuszak
Pakos³aw;Derziuk
Celestyn;Szelag
Œwieciech;Tieœluk
Chociemir;Guczawska
Bazylid;Saba³a-Sobolewski
Sêdziwoj;Sarleja
Nikifor;Senglaub
Zygmunt;Je³owicki
Walery;Gryner
Robert;Bartuszewski
Wirgiliusz;Knerowicz
Mokij;Zió³o
Abraham;Bojarunos
Stojs³aw;Kolesowa
Pius;Zalep
Czechasz;Wierzchów
Euchariusz;Ni¿ygorocki
Nikodem;Kpaszewski
Bogumi³;Wandlik
Hieronim;Inojewicz
Wszebor;Diamos
Sulis³aw;Bulartowicz
Kiry³;Czambera
Patrycjusz;Gembczyk
Nosis³aw;Bro¿eniak
Dobromierz;Zmyslona
Atanazy;Donvil
Kryspin;Szczensna
Œwiêtomir;Da³ek
Zacheusz;Katko
Ariel;Starowniak
Borzys³aw;T³órz
Dan;Balcor
Ernestyn;Zalat
Addar;DroŸd¿ewicz
Imis³aw;Chastek
Tristan;BedŸmierowski
Eulogiusz;Tyworzyk
Probus;Zguromali
Joachim;Lempka
Chociebor;Stowarz
Sambor;Kulerza
Bo¿eciech;Œwiechocki
Felicjan;Gudojczyk
Tworzymir;Rogaciñski
Wszebor;Bugañski
Czêstobor;Chmarna
Ziemis³aw;Wiechocki
Balcer;Schuppenies
Brodzis³aw;Kobzarów
Œwiêtobor;Kajdañski
Hugo;¯¹da
Taras;Kiwatrowski
Otomar;Steinmetz
Lewin;Rahk
Telesfor;Haczak
Honoriusz;K³awiñski
Idzi;Dro¿yñski
Cieszymys³;Szyprzak
Œwiêtomir;Warzeñczyk
Innocenty;Medygram
Salomon;Zagrzyñska
Achacjusz;Zombkowski
Atanazy;Niesie³
Julian;Klaputek
Saturnin;Rikaszewski
Ewelin;Szyfranek
Wiêcerad;LeŸnicki
Napoleon;Pochróñ
Nahum;Helaj
Antym;Dol
Korneliusz;Jager
Ezdrasz;Brzeziewicz
Zdobys³aw;Tendykiewicz
S³awomir;Fomin
Mironieg;Witrak
Les³aw;Sapelik
Martyn;Lukan
Marek;Adamenko
Wiktoryn;Lobocki
Wit;Wytkowski
W³odziwoj;Kraujalis
Chrystian;Wendtk
Eugeniusz;Bujni³³o
Cibor;Kiryk
Szymon;Ciemny
Asenat;To³stucha
Walenty;Œwitula
Czesemir;Bateñczuk
Pakosz³aw;Dolatta
Dobies³aw;Wajman
Œwiêcimir;Wojciu³
Niemir;Ho³yniewski
Ado;Fredek
Aurelian;Bogdania
Klet;Odmianowski
German;Dopont
Salomon;Fantazyjski
Stojs³aw;Gaudy
Malwin;Ohlsson
Ernestyn;Sztramko
Matron;Deryno
Wiêczys³aw;Tybura
Lutomys³;Zajadziñski
Lubomys³;Nowoszyn
Lubomierz;Szumakowicz
Seweryn;Gier³owicz
Cieszygor;Knight
Gos³aw;Pucharowicz
Œwiêtos³aw;Laucewicz
Nosis³aw;Kedrzyñski
Oswald;Kokejba
Trofim;Pielczarski
Wolimir;Tamowski
Piotr;Markur
Budziwoj;Bree
Herkules;Byczyniuk
Strze¿ywoj;£oba¿ewicz
Mi³ogost;Bordzajak
Damian;Falewicz
Damian;Sienierz
Rufin;Zise
Szczepan;Sakol
Aleksander;Stiepanczuk
Tomi³;Sehnke
Wiktorian;Chadkiewicz
Dan;Kloziak
Œwiêtos³aw;Konarzec
D³ugosz;Gra¿anów
Zefiryn;Bazuniak
Gotfryd;Komendorek
Gracjan;Pydik
Goœcis³aw;Gerasimenko
Dragomir;Iwasiów
Pêkos³aw;Cerkwicka
Arnolf;Verissimo
Wielis³aw;Gawda
Œwiêtomir;Barduk
Kondrad;Mesku³a
Teofil;Bia³czor
Brodzis³aw;Miesiecka
Radzim;Kema³ow
Ireneusz;Lesiowski
Bonifacy;Frajkowski
Hortensjusz;Hebenbarth
Bazylid;Miczanowski
Wszerad;Radniewicz
Tymon;Hernanowicz
Sylwiusz;Nu¿
Ewelin;Jasrz¹bek
Jazon;Jamraz
Janusz;Taporek
Kordian;Kowerdies
Eustachiusz;Szopieray
Hugon;Nos³onek
Nawoj;L¹dowicz
Kandyd;Ciechmistrz
Bêdzis³aw;Tarnkowski
Sewer;Lojna
Œwieciech;Witczyn
£azarz;Pogród
Ado;Miliniewski
Abdon;Leslie
Norbert;Bymke
£ucjusz;Emielitty
Wadim;Dowtort
Herakles;Paluciak
Euzebiusz;Cyru³owski
Stanis³aw;Baksy
Têgomir;Mochniewicz
Miko³aj;Wardêga
Arseniusz;Pajkiet
Apoloniusz;Sturm
Tycjan;Stepla
Karol Boromeusz;Ba³cerski
Auksencjusz;Pieniuta
Klaudian;Galias
£ukasz;Przy¿ycki
Arseniusz;Siembit
Romeo;Rothkêgel
Lutomys³;Py³piak
Wiktorian;Artymionko
Dagobert;Serwaczak
S¹dzimir;Wardakas
Ryszard;Karoluch
Honorat;Usa
Bo¿eciech;Ziarkiewicz
Dobiegniew;Lizniewicz
Tymon;Szomowicz
Lewin;Raganiec
Rufus;Nadymas
Borzywoj;P³ociczka
Kalikst;Œwiergal
Flawiusz;Dowiñska
Niecis³aw;Luftner
Lubogost;Monczyn
Przybywoj;Trziska
Kewin;Szmel
Wasyl;Po³chleba
Bo¿ebor;Dere³³o
Egon;Modena
Barnabasz;Hordes
Bo¿ys³aw;Szukie³³o
Hugon;Bryliñski
Gniewosz;Suchozebrska
Erast;Grzesitowski
Mi³owan;D³ugoñ
Tobiasz;Kinastowski
Franciszek Salezy;Ochab
Dobies³aw;Uglarenko
